,Candidat,Date,Nb de likes
701,Anne_Hidalgo,2021-12-05 11:42:49+00:00,65
702,Anne_Hidalgo,2021-12-05 11:42:48+00:00,226
703,Anne_Hidalgo,2021-12-05 10:17:40+00:00,191
704,Anne_Hidalgo,2021-12-04 20:40:44+00:00,315
705,Anne_Hidalgo,2021-12-04 19:55:07+00:00,369
706,Anne_Hidalgo,2021-12-04 18:04:05+00:00,195
707,Anne_Hidalgo,2021-12-04 17:30:10+00:00,209
708,Anne_Hidalgo,2021-12-04 14:00:11+00:00,243
709,Anne_Hidalgo,2021-12-03 15:28:24+00:00,248
710,Anne_Hidalgo,2021-12-02 19:41:51+00:00,507
711,Anne_Hidalgo,2021-12-02 18:17:52+00:00,97
712,Anne_Hidalgo,2021-12-01 13:51:31+00:00,64
713,Anne_Hidalgo,2021-12-01 13:51:30+00:00,255
714,montebourg,2021-12-24 16:12:02+00:00,271
715,montebourg,2021-12-21 08:05:34+00:00,149
716,montebourg,2021-12-20 11:53:41+00:00,137
717,montebourg,2021-12-20 09:22:14+00:00,204
718,montebourg,2021-12-19 17:35:46+00:00,93
719,montebourg,2021-12-18 18:34:29+00:00,407
720,montebourg,2021-12-17 15:44:11+00:00,419
721,montebourg,2021-12-17 14:57:25+00:00,1048
722,montebourg,2021-12-15 14:56:56+00:00,164
723,montebourg,2021-12-13 17:30:40+00:00,335
724,montebourg,2021-12-13 17:06:26+00:00,136
725,montebourg,2021-12-12 18:40:19+00:00,272
726,montebourg,2021-12-12 18:22:55+00:00,137
727,montebourg,2021-12-12 18:14:44+00:00,56
728,montebourg,2021-12-12 15:28:38+00:00,39
729,montebourg,2021-12-12 15:28:35+00:00,49
730,montebourg,2021-12-12 15:28:31+00:00,15
731,montebourg,2021-12-12 15:28:29+00:00,98
732,montebourg,2021-12-11 17:45:47+00:00,200
733,montebourg,2021-12-10 17:43:02+00:00,941
734,montebourg,2021-12-10 11:42:43+00:00,323
735,montebourg,2021-12-10 11:06:08+00:00,408
736,montebourg,2021-12-10 10:46:57+00:00,436
737,montebourg,2021-12-10 10:25:25+00:00,2061
738,montebourg,2021-12-10 07:38:24+00:00,265
739,montebourg,2021-12-09 17:25:58+00:00,86
740,montebourg,2021-12-09 15:28:24+00:00,31
741,montebourg,2021-12-09 15:28:21+00:00,35
742,montebourg,2021-12-09 15:28:19+00:00,21
743,montebourg,2021-12-09 15:28:18+00:00,14
744,montebourg,2021-12-09 15:28:16+00:00,12
745,montebourg,2021-12-09 15:28:15+00:00,10
746,montebourg,2021-12-09 15:28:13+00:00,10
747,montebourg,2021-12-09 15:28:12+00:00,80
748,montebourg,2021-12-09 09:20:08+00:00,117
749,montebourg,2021-12-08 21:39:01+00:00,102
750,montebourg,2021-12-08 21:28:00+00:00,127
751,montebourg,2021-12-08 21:25:03+00:00,62
752,montebourg,2021-12-08 21:20:48+00:00,124
753,montebourg,2021-12-08 19:16:34+00:00,278
754,montebourg,2021-12-08 16:55:37+00:00,81
755,montebourg,2021-12-08 16:46:28+00:00,123
756,montebourg,2021-12-08 16:46:25+00:00,86
757,montebourg,2021-12-08 16:46:23+00:00,78
758,montebourg,2021-12-08 16:46:20+00:00,88
759,montebourg,2021-12-08 16:46:18+00:00,73
760,montebourg,2021-12-08 16:46:16+00:00,955
761,montebourg,2021-12-08 15:20:34+00:00,603
762,montebourg,2021-12-08 08:32:11+00:00,125
763,montebourg,2021-12-07 18:58:20+00:00,140
764,montebourg,2021-12-07 18:58:19+00:00,120
765,montebourg,2021-12-07 18:58:19+00:00,98
766,montebourg,2021-12-07 18:58:19+00:00,113
767,montebourg,2021-12-07 18:58:18+00:00,376
768,montebourg,2021-12-03 17:30:34+00:00,111
769,montebourg,2021-12-03 17:14:09+00:00,113
770,montebourg,2021-12-03 17:09:46+00:00,204
771,montebourg,2021-12-03 16:32:27+00:00,52
772,montebourg,2021-12-02 15:41:24+00:00,219
773,montebourg,2021-12-01 15:43:29+00:00,209
774,montebourg,2021-12-01 14:25:33+00:00,174
775,montebourg,2021-12-01 11:38:22+00:00,236
776,montebourg,2021-12-01 10:31:28+00:00,109
777,yjadot,2021-12-29 17:59:59+00:00,7
778,yjadot,2021-12-29 08:33:49+00:00,518
779,yjadot,2021-12-28 15:34:30+00:00,74
780,yjadot,2021-12-28 11:01:12+00:00,16
781,yjadot,2021-12-27 11:59:00+00:00,215
782,yjadot,2021-12-26 21:13:57+00:00,431
783,yjadot,2021-12-25 18:09:03+00:00,331
784,yjadot,2021-12-24 20:07:21+00:00,558
785,yjadot,2021-12-24 16:59:00+00:00,331
786,yjadot,2021-12-24 13:04:34+00:00,142
787,yjadot,2021-12-23 19:41:43+00:00,138
788,yjadot,2021-12-23 19:03:56+00:00,192
789,yjadot,2021-12-23 16:57:23+00:00,2422
790,yjadot,2021-12-23 15:34:58+00:00,277
791,yjadot,2021-12-22 21:00:01+00:00,191
792,yjadot,2021-12-22 20:00:01+00:00,121
793,yjadot,2021-12-22 19:00:05+00:00,246
794,yjadot,2021-12-22 17:20:30+00:00,61
795,yjadot,2021-12-22 17:20:29+00:00,210
796,yjadot,2021-12-22 16:29:08+00:00,755
797,yjadot,2021-12-22 10:06:47+00:00,195
798,yjadot,2021-12-22 08:26:31+00:00,243
799,yjadot,2021-12-22 07:22:54+00:00,413
800,yjadot,2021-12-22 07:21:00+00:00,169
801,yjadot,2021-12-21 22:00:00+00:00,284
802,yjadot,2021-12-21 20:20:18+00:00,216
803,yjadot,2021-12-21 19:10:27+00:00,386
804,yjadot,2021-12-21 12:00:01+00:00,185
805,yjadot,2021-12-21 10:51:07+00:00,117
806,yjadot,2021-12-21 08:40:01+00:00,245
807,yjadot,2021-12-20 21:41:39+00:00,521
808,yjadot,2021-12-20 19:15:21+00:00,157
809,yjadot,2021-12-20 16:46:40+00:00,94
810,yjadot,2021-12-20 15:31:00+00:00,207
811,yjadot,2021-12-20 13:53:39+00:00,128
812,yjadot,2021-12-20 13:53:38+00:00,331
813,yjadot,2021-12-20 11:36:09+00:00,88
814,yjadot,2021-12-20 11:36:09+00:00,319
815,yjadot,2021-12-20 10:20:48+00:00,322
816,yjadot,2021-12-20 08:47:07+00:00,390
817,yjadot,2021-12-20 08:28:31+00:00,123
818,yjadot,2021-12-20 08:21:47+00:00,152
819,yjadot,2021-12-20 08:03:01+00:00,882
820,yjadot,2021-12-19 19:01:35+00:00,139
821,yjadot,2021-12-19 18:09:11+00:00,125
822,yjadot,2021-12-19 13:48:16+00:00,229
823,yjadot,2021-12-18 21:16:21+00:00,167
824,yjadot,2021-12-18 18:39:13+00:00,500
825,yjadot,2021-12-17 19:42:45+00:00,507
826,yjadot,2021-12-17 19:07:18+00:00,154
827,yjadot,2021-12-17 18:00:17+00:00,239
828,yjadot,2021-12-17 16:29:40+00:00,160
829,yjadot,2021-12-17 10:59:39+00:00,95
830,yjadot,2021-12-17 09:58:31+00:00,99
831,yjadot,2021-12-17 09:58:30+00:00,96
832,yjadot,2021-12-17 09:58:29+00:00,62
833,yjadot,2021-12-17 09:58:28+00:00,66
834,yjadot,2021-12-17 09:58:27+00:00,208
835,yjadot,2021-12-17 08:44:00+00:00,8
836,yjadot,2021-12-17 07:40:10+00:00,111
837,yjadot,2021-12-16 20:00:00+00:00,161
838,yjadot,2021-12-16 19:29:57+00:00,122
839,yjadot,2021-12-16 19:17:53+00:00,163
840,yjadot,2021-12-16 19:05:38+00:00,51
